open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,close_frac_diff
2025-08-22 13:59:59.999,2025-08-22 14:19:59.999,112487.11,115764.0,112468.35,115029.88,3766.5711200000005,431434040.180972,399396,22538.401757960964
2025-08-22 14:19:59.999,2025-08-22 15:04:59.999,115029.88,116492.0,114609.0,116431.86,2925.53104,338266452.3936418,379296,23474.251942902352
2025-08-22 15:04:59.999,2025-08-22 16:19:59.999,116431.86,117296.12,116252.0,116267.96,2892.6957800000005,337582134.81346965,326557,22863.451066475172
2025-08-22 16:19:59.999,2025-08-22 18:24:59.999,116267.96,117429.05,116116.0,116849.99,2731.69617,318757605.6416804,337900,23276.405971843065
2025-08-22 18:24:59.999,2025-08-22 23:19:59.999,116849.99,117174.43,116520.0,116706.2,2704.95679,316075535.9578783,376620,22905.360264992094
2025-08-22 23:19:59.999,2025-08-23 03:39:59.999,116706.2,117030.0,115500.0,115584.73,2725.2421200000003,316750315.24057543,511992,21687.810687222678
2025-08-23 03:39:59.999,2025-08-23 08:59:59.999,115584.73,116034.53,115458.2,115746.12,2726.971,315861687.3747798,331107,21998.36951772985
2025-08-23 08:59:59.999,2025-08-23 14:04:59.999,115746.12,115782.03,114735.57,114886.65,2736.009330000001,315295153.4289069,307413,21137.753230615926
2025-08-23 14:04:59.999,2025-08-23 21:59:59.999,114886.65,115325.82,114560.0,115028.0,2745.0459499999993,315540952.1236214,389531,21444.800545073376
2025-08-23 21:59:59.999,2025-08-24 04:24:59.999,115028.0,115666.68,114934.21,115254.94,2747.582200000001,316779065.3553753,371291,21703.269452088047
2025-08-24 04:24:59.999,2025-08-24 09:34:59.999,115254.94,115254.94,114668.0,114940.05,2749.5581200000006,316036359.3824451,282186,21363.37118063128
2025-08-24 09:34:59.999,2025-08-24 14:54:59.999,114940.05,115060.99,114350.57,114648.56,2752.6526900000003,315652462.1877878,388051,21129.47849889478
2025-08-24 14:54:59.999,2025-08-24 18:04:59.999,114648.56,114865.32,114236.0,114337.26,2814.9996799999994,322244588.90498126,330094,20899.211501249534
2025-08-24 18:04:59.999,2025-08-24 19:39:59.999,114337.26,114917.1,110680.0,112716.28,4702.04989,532433499.5840532,398382,19377.129621198284
2025-08-24 19:39:59.999,2025-08-24 20:19:59.999,112716.28,113079.32,111632.85,112562.98,2872.0254699999996,322869524.3263002,284833,19595.880556793258
2025-08-24 20:19:59.999,2025-08-24 23:29:59.999,112562.98,113648.26,112369.16,113648.25,2825.4822399999994,319083562.9988945,520068,20872.70220926254
2025-08-24 23:29:59.999,2025-08-25 04:09:59.999,113648.25,113692.97,112159.0,112967.12,2821.205640000001,319120157.9161045,749855,20087.399832213036
2025-08-25 04:09:59.999,2025-08-25 07:34:59.999,112967.12,112978.0,111700.0,111707.35,2885.9369599999995,324071351.25160146,510936,18956.59934157951
2025-08-25 07:34:59.999,2025-08-25 09:54:59.999,111707.35,111949.7,110991.28,111640.22,2884.2969299999995,321657120.4834833,424144,19204.730079780653
2025-08-25 09:54:59.999,2025-08-25 12:59:59.999,111640.22,111850.13,110929.48,111586.31,2911.3331000000003,324026801.5795682,458801,19310.24923425245
2025-08-25 12:59:59.999,2025-08-25 14:49:59.999,111586.31,112307.69,110588.0,112282.57,2857.36197,318746601.2471733,557737,20119.04315945023
2025-08-25 14:49:59.999,2025-08-25 19:04:59.999,112282.57,112937.26,111828.24,112187.84,2820.639159999999,317066231.9261105,666565,19964.85811539422
2025-08-25 19:04:59.999,2025-08-25 20:19:59.999,112187.84,112349.91,110000.0,110426.43,3022.82982,334821487.07665646,462756,18229.368874741616
2025-08-25 20:19:59.999,2025-08-25 21:09:59.999,110426.43,110633.87,109390.01,109693.17,2931.33835,321891913.4972412,458161,17874.22268255746
2025-08-25 21:09:59.999,2025-08-26 00:19:59.999,109693.17,110599.07,109274.1,109740.01,2903.4499800000003,319243699.3118607,588565,18233.70868439901
2025-08-26 00:19:59.999,2025-08-26 02:19:59.999,109740.01,110026.14,108666.66,109903.25,2898.38137,317090624.46849996,718688,18554.333729307822
2025-08-26 02:19:59.999,2025-08-26 08:29:59.999,109903.25,110547.31,109432.0,110074.45,2881.767459999999,317110261.91191566,922443,18805.371256753264
2025-08-26 08:29:59.999,2025-08-26 13:19:59.999,110074.45,110818.6,109570.34,109958.79,2927.69306,322376417.9555655,617067,18729.989352107994
2025-08-26 13:19:59.999,2025-08-26 15:44:59.999,109958.79,110561.76,109393.93,109599.99,2940.76121,323718249.33480495,701102,18444.618846745652
2025-08-26 15:44:59.999,2025-08-26 19:14:59.999,109599.99,110990.05,109450.0,110661.42,2916.3759,320788460.03689337,496567,19634.28695141553
2025-08-26 19:14:59.999,2025-08-26 23:14:59.999,110661.42,112371.0,110605.6,112317.65,2914.39183,324612063.1888408,418484,21155.452937071168
2025-08-26 23:14:59.999,2025-08-27 04:19:59.999,112317.65,112328.88,110918.26,111500.0,2830.9595600000002,315626469.72689074,544008,19981.761343381964
2025-08-27 04:19:59.999,2025-08-27 10:44:59.999,111500.0,111685.57,110345.42,111063.81,2847.2515000000008,315955640.6909883,548222,19576.204911882247
2025-08-27 10:44:59.999,2025-08-27 14:59:59.999,111063.81,112625.0,110975.11,111815.94,2853.30235,318636123.0262362,724952,20409.89894317044
2025-08-27 14:59:59.999,2025-08-27 20:14:59.999,111815.94,112600.0,111505.0,111914.28,2815.762949999999,315379116.84757894,735094,20388.456766223113
2025-08-27 20:14:59.999,2025-08-28 00:54:59.999,111914.28,112452.05,110862.42,111298.16,2839.75674,316856293.7168577,759894,19712.394573902435
2025-08-28 00:54:59.999,2025-08-28 07:14:59.999,111298.16,113333.0,111155.2,113323.27,2819.6720300000006,317206019.6136406,592186,21832.85013467715
